Dusun,English,Type,Malay,Category,Variants
rihat,rest,noun,rehat,"ideas & emotions",
"rihat obuli poposonong prestasi jangka panjang","rest helps improve long term performance",sentence,"rehat membantu meningkatkan prestasi jangka panjang",declarative,
rikot,come,"verb ",datang,root,
rikot,arrive,"verb ",tiba,root,
rikot,come,"verb ",tiba,root,
rikoton,destination,noun,destinasi,"places & buildings",
rilik,"clear brush","verb ","tebang kayu",root,
rilin,candle,noun,lilin,"objects & tools",
rilit,"coil up","verb ",lilit,root,
rilitan,"wrap around",verb,melilit,,
"riminasam konihab id toinsanan koiyonon","It rained yesterday throughout the area",sentence,"hujan turun kelmarin di seluruh kawasan",declarative,
rinaag,"was vandalized","verb ","telah dirosakkan",past,
"rinaag dih tanak ku ih henpon ku","my son broke my cell phone",sentence,"anak saya rosakkan telefon bimbit saya",declarative,
rinaat,"corpse fluid",noun,"air mayat","objects & tools",
rinabus,"boiled (food)",verb,rebus,,
rinadu,plowed,verb,diradu,,
rinait,"ritual verse",noun,"ayat ritual","ideas & emotions",
rinait,chant,noun,berzikir,"ideas & emotions",
rinakan,"food that is being cooked",noun,masakan,"food & drink",
"rinamai diyolo ih kamanangan dih tiim miampai agayo kotoodon","the team’s success was celebrated with great joy",sentence,"kejayaan pasukan itu diraikan dengan penuh kegembiraan",declarative,
"rinancang ih hari sukan doh bulan dapan id sikul","sports day planned for next month at school",sentence,"hari sukan dirancang pada bulan depan di sekolah",declarative,
rinantai,floor,noun,lantai,"places & buildings",
rinapa,"food eaten with rice",noun,lauk,"food & drink",
rinapa,dish,noun,"sayuran, lauk","food & drink",
rinasun,poisoned,verb,diracun,,
rinda,"lace edging",noun,renda,"clothing & personal items",
ringgit,ringgit,noun,ringgit,"objects & tools",
ringkat,"multi-tiered lunchbox",noun,"mangkuk bertingkat","objects & tools",
ringkat,"tiffin carrier",noun,"mangkuk bertingkat","objects & tools",
rinidis,shredded,verb,dicincang,,
rinilik,"cut brush",verb,"telah ditebas",,
rinohian,"was envious","verb ","telah cemburu",past,
rinomos,"rubbish ",noun,sampah,"objects & tools",
rinompok,"flush (level)",adjective,diratakan,descriptive,
"rinondom dau ih gakod dau id baang","she immersed her feet in the river",sentence,"dia merendam kakinya di sungai",declarative,
"rinondom ku ih longon ku hiri;d waig tosogit","I immersed my hands in cold water",sentence,"saya merendam tangan saya dalam air sejuk",declarative,
rinukut-rukut,"tarsier (animal)",noun,"kera hantu",animals,
"rinulan ih pinopotonduli dih gambar laid","the old photo was carefully restored",sentence,"gambar lama itu dipulihkan dengan teliti",declarative,
rinumalad,spread,verb,merebak,,
rinumalom,"became deeper",verb,"menjadi dalam",,
rodiu,radio,noun,radio,"objects & tools",
rogon,devil,noun,setan,,
rogon,demon,noun,syaitan,"ideas & emotions",
rogon,devil,noun,syaitan,"ideas & emotions",
rogonon,"bothered by demons",adjective,"dirasuk syaitan",descriptive,
roitan,called,verb,dipanggil,,pinungaranan
roiton,mention,"verb ",sebut,,
"roiton nopo ngaran ku doh koruba ko nogi dih Datuk","just mention my name if you see Datuk",sentence,"kau sebut saja nama saya kalau kamu terjumpa Datuk",,
rokot,suckerfish,noun,"ikan dbkk",animals,
roli,"spread (disease)","verb ",jangkit,root,
roloi,saliva,noun,"air liur","body, health & activities",
rolot,mix,"verb ",adun,root,
rolot,mix,"verb ",campur,root,
rombituon,star,noun,bintang,nature,
rombu,"burlap string",noun,rambu,"clothing & personal items",
romog,obese,adjective,gemuk,descriptive,
romou,tears,noun,"air mata","body, health & activities",
"romou mato ku lumuyung id pingas ku","tears of my eyes running down my cheeks",sentence,"air mata saya mengalir di pipi saya",declarative,
"rompok nogi doho ilo mangga om mongua noh","the mango is just the same height as me but it has already borne fruit",sentence,"mangga itu baru sama dengan ketinggian saya tapi sudah berbuah",declarative,
rondom,"moonless night",adjective,"malam gelap gelita",descriptive,
"rondom ",immerse,"verb ",rendam,root,
rondong,"barrel of gun",noun,laras,"objects & tools",
ronggilut,moss,noun,lumut,nature,
ronggiluton,"covered in moss",verb,nerlumut,,
rongod,logic,noun,fikiran,"ideas & emotions",
rongod,brain,noun,otak,"body, health & activities",
rongou,hear,"verb ",dengar,root,
rongou,listen,"verb ",dengar,root,
ronok,"submit in fear","verb ","mengalah kerana takut",root,
rooh,chin,noun,dagu,"body, health & activities",
ropo,fathom,noun,"dua ela","time, events & quantities",
ropuhan,kitchen,noun,dapur,"places & buildings",
roso,taste,noun,rasa,,
rosua,bribe,noun,rasuah,"ideas & emotions",
rosuno,"poison it",verb,racunkan,,
rotusan,hundreds,number,ratusan,,
"rotusan binatang napatai sabab mononglous","hundreds of animals died of starvation",sentence,"beratus-ratus haiwan terbunuh akibat kebuluran",declarative,
roun,leaf,noun,daun,nature,
royohon,"to praise",verb,memuji,,
"royohon ku Ih karaja miagal diti","I would praise such action",phrase,"saya akan memuji tindakan seperti ini",declarative,
ruab,"high tide",noun,"air pasang",nature,
ruba,meet,"verb ",jumpa,root,
rubat,waste,"verb ",bazir,root,
rudai,chameleon,noun,"cicak sumpah-sumpah",animals,
rugi,thorn,noun,duri,nature,
ruhak,"torn part",noun,"bahagian yang koyak","objects & tools",
ruhangai,add,verb,tambah,imperative,
"ruhangai poh doh tusi. ayami tomod ti tikanas","add more salt. this dish is really bland",sentence,"tambah lagi garam. lauk ini tawar betul",declarative,
ruhuk,descend,"verb ","turun (dari bukit)",root,
rukit,rocket,noun,roket,"objects & tools",
rukut,"collection of donations",noun,"kutipan, derma","objects & tools",
ruli,lorry,noun,lori,"objects & tools",luri
rulud,align,verb,sebaris,,
rulun,drift,"verb ",hanyut,root,
rulus,rinse,"verb ",bilas,root,
rumaag,"going to break down",adjective,"menjadi rosak",descriptive,
rumagang,"become red",verb,"menjadi merah",,
rumakit,"catch fire",verb,terbakar,,
rumalad,spreading,verb,merebak,,
"rumalad doh hilo sampaping ih tapui","the fire spread to the other side",sentence,"api itu merebak ke sebelah",declarative,
"rumalad ih tapui amu nogi kawalon yoh","the fire will spread to your area if left uncontrolled",sentence,"api akan merebak ke kawasan anda jika tidak dikawal",declarative,
"rumalad kumaa'd hiti","spreading to this place",phrase,"merebak ke sini",,
rumalom,"getting deeper",verb,"semakin dalam",,
rumanggau,"getting taller",verb,meninggi,,
rumapo,"going to meet",verb,"berjumpa, datang, akan datang",,
rumasakit,hospital,noun,hospital,"places & buildings",
rumasam,raining,verb,hujan,,dumarun
"rumasam baino","it is raining today",phrase,"hari ini hujan",,
"rumasam nopo","it always rains",phrase,"selalu hujan",,
"rumasam sorouku hilo'd labus","it may be raining outside",sentence,"mungkin sedang hujan di luar",declarative,
"rumasam sorouku sodopon","it may rain later today",sentence,"ia mungkin hujan lewat hari ini",declarative,
"rumasam tomod","raining heavily",phrase,"hujan lebat",,
rumatu,falling,verb,jatuh,,
rumatu,"going to fall",verb,jatuh,,
rumbio,"sago palm tree",noun,rumbia,nature,
rumihat,"going to rest",verb,berehat,,
"rumihat noh korikot ko hilo'd walai","have a rest after you reach home",sentence,"berehatlah selepas kamu sampai rumah",declarative,
rumikot,arriving,verb,datang,,
rumikot,"to arrive",verb,datang,,
rumikot,"to attend",verb,datang,,
"rumikot ih pulis doh suab mongoi panangkap dih manakau","the police will come  tomorrow to arrest the thief",sentence,"polis akan datang esok untuk menangkap pencuri itu",declarative,
"rumikot kasari ilo tungau ingkuro nopo sara ku mongugar dau","the cat keeps coming no matter how I try to chase it away",sentence,"kucing itu tetap datang walau macam mana carapun saya halau dia",declarative,
"rumikot ko suab?","will you come tomorrow?",phrase,"kamu akan datang esok?",,
"rumikot maa ilo doh hiti?","will it come here?",sentence,"adakah ia akan datang ke sini?",interrogative,
"rumikot noh ih Datuk","Datuk is arriving soon",sentence,"Datuk akan sampai tidak lama lagi",declarative,
rumilik,"clear brush",verb,"membersih hutan",,
rumilit,"coiling up",verb,melilit,,
"ruminaag ih susu","the milk turned bad overnight",sentence,"susu menjadi rosak semalaman",declarative,
ruminagang,"became red",verb,"menjadi merah",,
ruminagang,"became red","verb ","telah menjadi merah",past,
"ruminagang and lumnonit ih suhat","the wound turned red and swollen",sentence,"luka menjadi merah dan bengkak",declarative,
"ruminagang ilo tadau id tohuri doh haun","the sun turned red behind the clouds",sentence,"matahari itu menjadi merah di belakang awan",declarative,
"ruminalad ih Cobid-19 doh hilo'd pomogunan doh suai","Covid-19 has spread to other countries",sentence,"Covid-19 telah merebak ke negara-negara lain",declarative,
"ruminalad ih kampung somok doh baang","villages grew near rivers",sentence,"kampung berkembang berhampiran sungai",declarative,
ruminasam,rained,"verb ","telah hujan",past,duminarun
"ruminasam konihab","it rained yesterday",phrase,"hujan kelmarin",,
"ruminasam; nga luminabus ii yolo","it was raining; nevertheless, they went out",sentence,"hari hujan; namun begitu, mereka tetap keluar",declarative,
ruminikot,came,"verb ","telah datang",past,
"ruminikot ih John doh hiti  mongoi intong dih upacara","John came here to witness the ceremony",sentence,"John datang ke sini untuk menyaksikan upacara itu",declarative,
"ruminikot ih tapa dih John doh hiti poporikot dih pason","John's father came here to deliver a message",sentence,"bapa John datang ke sini untuk menyampaikan mesej",declarative,
"ruminikot oku doh hiti supaya kokito oku dih rabas nu","I came here so that I can see your face",sentence,"saya datang ke sini supaya saya dapat melihat muka kamu",declarative,
"ruminikot poh ih Sogok dih? Noyopos tomod yau","did Sogok go? He was really wet",sentence,"Sogok masih mahu datang? Dia suda basah kuyup",declarative,
ruminuhuk,descended,verb,"turun (dari bukit)",,
rumiou,wilting,verb,"menjadi layu",,
rumo,"visiting one to have a chat","verb ",menziarahi,root,
"rumoli moti ino sakit doh roun nung amu ko mamakai rasun yoh","that leaf disease will spread if you don’t use pesticide",sentence,"penyakit daun itu akan berjangkit kalau kamu tidak guna racun",declarative,
rumpad,rough,adjective,rongak,descriptive,
rumpit,crush,"verb ",kemek,root,
rumpos,accommodate,"verb ",muat,root,
"rumput malu","mimosa pudica",noun,"rumput malu",nature,
rumuab,"tide getting higher",verb,"air akan pasang",,
rumuba,seeing,verb,berjumpa,,
rumuba,"to meet",verb,berjumpa,,
"rumuba doho suab","you see me tomorrow",sentence,"esok kamu jumpa saya",declarative,
"rumuba ih John dih sigu doh tiinu","John will see the teacher later",sentence,"John akan jumpa doktor nanti",declarative,
"rumuba oku diya doh bulan sabalas","see you in September",sentence,"jumpa anda pada bulan November",declarative,
"rumuba oku diya hilo'd sikul","see you at school",sentence,"jumpa anda di sekolah",declarative,
rumuhuk,"going down",verb,turun,,
rumulan,careful,adjective,berhati-hati,personal,
"rumulan ii","be careful",phrase,berhati-hati,,
"rumulan ii ih doribo momodoribal tu' asapou o rasam","the driver drove carefully because of heavy rain",sentence,"pemandu itu memandu hati-hati kerana hujan lebat",declarative,
"rumulan ii manganu dino barang","take that item carefully",sentence,"ambil barang itu dengan hati-hati",declarative,
"rumulan ii yau mamanau id sirang talamau","he walked carefully on the slippery floor",sentence,"dia berjalan berhati-hati di atas lantai yang licin",declarative,
rumulun,drifting,verb,terhanyut,,
rumun,nest,noun,sarang,animals,
rumuol,"becomes painful",verb,"menjadi sakit",,
"rumuol noh tian ku koimbagu","my stomach hurts again",sentence,"perut saya sakit balik",declarative,
"rumuol nopo ih totud ku salapas manangkus","my knee keeps hurting after runs",sentence,"lutut saya terus sakit selepas berlari",declarative,
rundukon,possessed,verb,dirasuk,,
rungayan,"proboscis monkey",noun,"monyet belanda",animals,
ruput,report,"verb ",lapor,root,
rusap,"traditional medicine ",noun,"ubat-ubatan tradisional","body, health & activities",
ruta,shatter,"verb ",hancur,root,
ruti,cracker,noun,biskut,"food & drink",
"rutin ku nopo monikid tadau nga modop","my daily routine is sleeping",sentence,"rutin harian saya ialah tidur",declarative,
rutipaun,bread,noun,roti,"food & drink",
ruul,roller,noun,"jentera penggelek","objects & tools",
saan,"carry on shoulder",verb,pikul,root,
saas,charge,noun,caj,"ideas & emotions",
saason,"to charge",verb,"akan mengecas",,
"saason ku ti henpion ku tiinu","I will charge my cell phone later",sentence,"nanti saya cas telefon bimbit saya",declarative,
saat,paint,noun,cat,"objects & tools",
saat,"to paint","verb ",mengecat,root,
"saaton id suang om id labus ilo walai","the house will be painted inside and outside",sentence,"rumah itu akan dicat di bahagian dalam dan luar",declarative,
"saaton ku daa ti kurita ku baino nga rumasam ii","I wanted to paint my car today but it's raining",sentence,"saya hendak cat kereta saya hari ini tapi hujan",declarative,
sabab,because,connector,kerana,conjunction,
sabab,because,connector,sebab,conjunction,
"sabab dih kosidraan dau, amu yau nakadapat minamain","due to his injury, he could not play",sentence,"disebabkan kecederaannya, dia tidak dapat bermain",declarative,
"sabab diya, amu oku putus asa ","because of you, I did not give up",sentence,"disebabkan kamu, saya tidak berputus asa",declarative,
"sabab dot ologod ih rasam,  kinensel ih acara","due to heavy rain, the event was cancelled",sentence,"disebabkan hujan lebat, acara itu dibatalkan",declarative,
"sabab nakalambat yau, tinangguh ih miting","because she was late, the meeting was delayed",sentence,"kerana dia lewat, mesyuarat ditangguhkan",declarative,
"sabab nakalambat, minuli yahai","since it was late, we decided to go home",sentence,"kerana sudah lewat, kami membuat keputusan untuk pulang",declarative,
"sabab napanat yau, aawal yau minodop ","because he was tired, he went to bed early",sentence,"kerana dia penat, dia tidur awal",declarative,
"sabab notutup ih talun-alun, guminuli yolo","because the road was closed, they turned back",sentence,"kerana jalan ditutup, mereka berpatah balik",declarative,
"sabab ruminasam, tumininggal yahai id walai","because it was raining, we stayed at home",sentence,"kerana hujan, kami tinggal di rumah",declarative,
"sabab suminakit yau, amu yau nakakaraja","since she was sick, she did not come to work",sentence,"kerana dia sakit, dia tidak datang bekerja",declarative,
"sabagai iso tanak, amu ko komilo manantu dih masa dapan nu","as a child, you cannot determine your own future",sentence,"sebagai seorang kanak-kanak, anda tidak boleh menentukan masa depan anda sendiri",declarative,
